,name,start,end,strand,avg
0,dnaA,409,1750,1,0.4007462686567164
1,dnaN,1938,3075,1,0.3996478873239437
2,rlbA,3205,3421,1,0.4372093023255814
3,recF,3436,4549,1,0.45593525179856115
4,remB,4566,4812,1,0.3673469387755102
5,gyrB,4866,6783,1,0.45041753653444677
6,gyrA,6993,9459,1,0.44421906693711966
7,yaaC,14846,15794,-1,0.34635691657866946
8,guaB,15914,17381,1,0.43519781718963163
9,dacA,17533,18865,1,0.40570999248685197
10,pdxS,19061,19946,1,0.4604072398190045
11,pdxT,19967,20558,1,0.46440677966101696
12,serS,20879,22157,1,0.4447924823805795
13,dck,22495,23149,-1,0.3767228177641654
14,dgk,23145,23769,-1,0.406099518459069
15,sleL,23867,25151,-1,0.45908028059236167
16,yaaI,25220,25766,-1,0.3779816513761468
17,tadA,25851,26337,1,0.4536082474226804
18,dnaX,26813,28505,1,0.4358367829686576
19,ebfC,28528,28852,1,0.3931888544891641
20,recR,28866,29463,1,0.43288590604026844
21,yaaL,29480,29705,1,0.3794642857142857
22,bofA,29771,30035,1,0.3916349809885932
23,csfB,35530,35725,1,0.31958762886597936
24,xpaC,35844,36459,1,0.3697068403908795
25,yaaN,36477,37638,1,0.40344827586206894
26,yaaO,37719,39162,1,0.42995839112343964
27,tmk,39158,39797,1,0.4122257053291536
28,darA,39870,40200,1,0.4194528875379939
29,yaaR,40212,40653,1,0.36818181818181817
30,holB,40664,41654,1,0.41759352881698686
31,ricT,41656,42484,1,0.42926239419588874
32,dnaH,42498,42858,1,0.37604456824512533
33,trmNF,42916,43660,1,0.423956931359354
34,yazA,43646,43946,1,0.40468227424749165
35,rsmI,43920,44799,1,0.4328018223234624
36,abrB,44847,45138,-1,0.35517241379310344
37,metS,45632,47627,1,0.42126379137412234
38,dayD,47705,48473,1,0.423728813559322
39,yabE,48628,49942,1,0.4150799695354151
40,rnmV,50086,50647,1,0.4625
41,rsmA,50639,51518,1,0.43507972665148065
